2022-09-08 05:08:41,RedPacketSec,domain,canteen.com,#ransomware,https://twitter.com/RedPacketSec/status/1567741691498565633
2022-09-08 05:08:44,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.nemarn.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741707231567872
2022-09-08 05:08:51,pingineer_jp,domain,avicccveoseesaacareeeoi.viiacucrvnsascrrooeaierio.ecoi15j.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741734054170624
2022-09-08 05:08:57,pingineer_jp,domain,avicacveoseaseacerceeoi.viiacucrrnsvscrrooeieraio.pqqdpe.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741760339873793
2022-09-08 05:09:04,pingineer_jp,domain,avscacaeoseaseacerceroi.visacucarnsvserrooeiraio.lfhdok.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741790551416836
2022-09-08 05:09:10,pingineer_jp,domain,avscacieosecseacsrcevoi.viiacuvarnsvscrroserraio.sulsau.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741816526745601
2022-09-08 05:09:18,pingineer_jp,domain,avscccaeiaeesaaccreoroi.visavucavnsaserroieaio.gaziwo.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741847417819138
2022-09-08 05:09:24,pingineer_jp,domain,avscacieosecseacsrcevoi.viiacuvarnsvscrroserraio.zslnpb.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741873489596418
2022-09-08 05:09:30,pingineer_jp,domain,avscacieeaecseacercevoi.viiasucarnsvscrroreaio.thjgcn.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741900358303751
2022-09-08 05:09:37,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.yqltyd.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741927076012039
2022-09-08 05:09:44,pingineer_jp,domain,avicccveoseesaacarseeoi.viiacuervnsascrroseaierio.zihwye.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741957727997953
2022-09-08 05:09:50,pingineer_jp,domain,avicccveeaeesaacvrereoi.viiavucrvnsascrroieaeio.cfmmcc.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567741983560708096
2022-09-08 05:09:56,pingineer_jp,domain,avscacaeiseaseccsrcoroi.visavucarnsvserrrieaio.axwmwk.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742009414414342
2022-09-08 05:10:03,pingineer_jp,domain,avscacaeiaeaseccercoroi.visavucarnsvserroieaio.ubgeis.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742035238727680
2022-09-08 05:10:09,pingineer_jp,domain,avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.gbtvhd.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742061104996358
2022-09-08 05:10:16,pingineer_jp,domain,avicccveeaeesaacvrereoi.viiavucrvnsascrroieaeio.gkvkwmv.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742091383705602
2022-09-08 05:10:22,pingineer_jp,domain,avscacaeiseaseccsrcoroi.visavucarnsvserrrieaio.dwbuiz.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742117468082177
2022-09-08 05:10:28,pingineer_jp,domain,avscacaeiseaseccsrcoroi.visavucarnsvserrrieaio.bv6u6sw.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742143254659075
2022-09-08 05:10:35,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.yggusos.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742169678774272
2022-09-08 05:10:41,pingineer_jp,domain,avscacieosecseacercevoi.viiacucarnsvscrrooerraio.sohelt.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742195217870848
2022-09-08 05:10:48,pingineer_jp,domain,avscacaeoseaseacsrceroi.visacucarnsvserroreiraio.mamlmq.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742225270059008
2022-09-08 05:10:54,pingineer_jp,domain,avscccaeiseesaaccrsoroi.visavucavnsaserrrieaio.zox9nus.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742251702558722
