2022-09-15 03:11:38,h2jazi,md5,30234a08e81fbc057432fd6b6e00ce5d,#Follina,https://twitter.com/h2jazi/status/1570248952796119041
2022-09-15 03:12:01,taku888infinity,url,http://mercari-cardmu.com/,#phishing,https://twitter.com/taku888infinity/status/1570249047201705984
2022-09-15 03:12:01,taku888infinity,url,http://mercari-cardmu.com/jp/login.html,#phishing,https://twitter.com/taku888infinity/status/1570249047201705984
2022-09-15 03:14:01,ecarlesi,url,https://notre-cartevitale.info,#phishing,https://twitter.com/ecarlesi/status/1570249552732749824
2022-09-15 03:16:52,ecarlesi,url,https://pinkycat.net/download/apk/savengo.apk,#malware,https://twitter.com/ecarlesi/status/1570250267324567553
2022-09-15 03:17:07,ecarlesi,url,https://mm-ebike.site/00000/mm_ebike_release_1.4.0.1.apk,#malware,https://twitter.com/ecarlesi/status/1570250332554366976
2022-09-15 03:19:20,ecarlesi,url,http://fmi-apple.live/,#phishing,https://twitter.com/ecarlesi/status/1570250891281694720
2022-09-15 03:19:32,ecarlesi,url,http://helpreset.info/,#phishing,https://twitter.com/ecarlesi/status/1570250939969466370
2022-09-15 03:20:55,harugasumi,url,https://www.xstresser.com/,#phishing,https://twitter.com/harugasumi/status/1570251286930681857
2022-09-15 03:21:34,ecarlesi,url,http://act-czn.online/,#phishing,https://twitter.com/ecarlesi/status/1570251451208990728
2022-09-15 03:23:03,ecarlesi,url,https://helpreset.info/,#phishing,https://twitter.com/ecarlesi/status/1570251825592545280
2022-09-15 03:23:35,ecarlesi,url,https://santcust.info/,#phishing,https://twitter.com/ecarlesi/status/1570251956748439552
2022-09-15 03:25:34,ecarlesi,url,https://fmi-apple.live/,#phishing,https://twitter.com/ecarlesi/status/1570252457887817728
2022-09-15 03:25:44,ecarlesi,url,https://mm-ebike.site/00001/mm_ebike_release_1.4.0.1.apk,#malware,https://twitter.com/ecarlesi/status/1570252501110394880
2022-09-15 03:29:33,ecarlesi,url,https://captcha.services,#phishing,https://twitter.com/ecarlesi/status/1570253460146212865
2022-09-15 03:31:29,ecarlesi,url,https://santcust.info/login.php,#phishing,https://twitter.com/ecarlesi/status/1570253948732448769
2022-09-15 03:32:07,ecarlesi,url,https://tremport.online/iriss/,#phishing,https://twitter.com/ecarlesi/status/1570254104953491457
2022-09-15 03:34:52,ecarlesi,url,http://rungglow.online/riocingdotter/,#phishing,https://twitter.com/ecarlesi/status/1570254800016515074
2022-09-15 03:37:40,drb_ra,ip,101.33.212.118,#CobaltStrike,https://twitter.com/drb_ra/status/1570255504055701504
2022-09-15 03:37:54,drb_ra,ip,114.132.233.117,#CobaltStrike,https://twitter.com/drb_ra/status/1570255561241010177
2022-09-15 03:38:11,drb_ra,ip,103.234.72.60,#CobaltStrike,https://twitter.com/drb_ra/status/1570255634339332102
2022-09-15 03:38:39,drb_ra,ip,114.132.75.132,#CobaltStrike,https://twitter.com/drb_ra/status/1570255750026469376
2022-09-15 03:38:41,ecarlesi,url,https://mm-ebike.site/00002/mm_ebike_release_1.4.0.1.apk,#malware,https://twitter.com/ecarlesi/status/1570255759417704452
2022-09-15 03:39:34,drb_ra,ip,124.222.244.249,#CobaltStrike,https://twitter.com/drb_ra/status/1570255982571175937
2022-09-15 03:39:36,ecarlesi,url,https://decentralized-protocol.art/index-2.html,#phishing,https://twitter.com/ecarlesi/status/1570255991194664960
2022-09-15 03:40:08,ecarlesi,url,http://bordercoss-shopfe.top/app/app.apk,#malware,https://twitter.com/ecarlesi/status/1570256124980482050
2022-09-15 03:40:56,drb_ra,ip,82.157.69.100,#CobaltStrike,https://twitter.com/drb_ra/status/1570256326172745728
2022-09-15 03:41:21,drb_ra,ip,125.70.215.61,#CobaltStrike,https://twitter.com/drb_ra/status/1570256429872992256
2022-09-15 03:42:52,ecarlesi,url,http://enbededsuhot.online/tblot/,#phishing,https://twitter.com/ecarlesi/status/1570256813647347712
2022-09-15 03:43:09,drb_ra,ip,124.220.37.104,#CobaltStrike,https://twitter.com/drb_ra/status/1570256883553812480
2022-09-15 03:45:29,ecarlesi,url,http://giftonce.shop,#phishing,https://twitter.com/ecarlesi/status/1570257471918186496
2022-09-15 03:48:02,ecarlesi,url,http://gifttwice.shop,#phishing,https://twitter.com/ecarlesi/status/1570258111876812806
2022-09-15 03:48:02,PhishStats,ip,13.235.155.147,#phishing,https://twitter.com/PhishStats/status/1570258111713390592
2022-09-15 03:48:02,PhishStats,url,http://lbpiaccess-93223212.run-ap-south1.goorm.io/,#phishing,https://twitter.com/PhishStats/status/1570258111713390592
2022-09-15 03:48:21,dubstard,url,https://secureline.site,#scam,https://twitter.com/dubstard/status/1570258193074323456
2022-09-15 03:48:21,dubstard,ip,198.187.29.31,#scam,https://twitter.com/dubstard/status/1570258193074323456
2022-09-15 03:53:40,dubstard,url,https://alrabhibank.com,#scam,https://twitter.com/dubstard/status/1570259528247123971
2022-09-15 03:53:40,dubstard,ip,199.188.200.212,#scam,https://twitter.com/dubstard/status/1570259528247123971
2022-09-15 03:58:41,dubstard,url,https://ccleaner.my.id,,https://twitter.com/dubstard/status/1570260793022713858
2022-09-15 03:58:41,dubstard,url,https://cbsnews.my.id,,https://twitter.com/dubstard/status/1570260793022713858
2022-09-15 03:58:41,dubstard,url,https://behance.my.id,,https://twitter.com/dubstard/status/1570260793022713858
2022-09-15 03:58:41,dubstard,url,https://filehippo.my.id,,https://twitter.com/dubstard/status/1570260793022713858
2022-09-15 03:59:49,ecarlesi,url,https://vubars.store,#phishing,https://twitter.com/ecarlesi/status/1570261078206021638
2022-09-15 04:00:17,dubstard,url,https://huffingtonpost.my.id,,https://twitter.com/dubstard/status/1570261196678303744
2022-09-15 04:00:17,dubstard,url,https://icloud.my.id,,https://twitter.com/dubstard/status/1570261196678303744
2022-09-15 04:00:17,dubstard,url,https://fiverr.my.id,,https://twitter.com/dubstard/status/1570261196678303744
2022-09-15 04:01:56,dubstard,url,https://livejasmin.my.id,,https://twitter.com/dubstard/status/1570261610563862529
